datetime,flow
2020-06-01T04:24:00Z,2e-6
2020-06-01T04:25:00Z,2e-6
2020-06-01T04:26:00Z,2e-6
2020-06-01T04:27:00Z,2e-6
2020-06-01T04:28:00Z,2e-6
2020-06-01T04:29:00Z,2e-6
2020-06-01T04:30:00Z,2e-6
2020-06-01T04:31:00Z,2e-6
2020-06-01T04:32:00Z,2e-6
2020-06-01T04:33:00Z,2e-6
2020-06-01T04:34:00Z,2e-6
2020-06-01T04:35:00Z,2e-6
2020-06-01T04:36:00Z,2e-6
2020-06-01T04:37:00Z,2e-6
2020-06-01T04:38:00Z,2e-6
2020-06-01T04:39:00Z,2e-6
2020-06-01T04:40:00Z,2e-6
2020-06-01T04:41:00Z,2e-6
2020-06-01T04:42:00Z,2e-6
2020-06-01T04:43:00Z,2e-6
2020-06-01T04:44:00Z,2e-6
2020-06-01T04:45:00Z,2e-6
2020-06-01T04:46:00Z,2e-6
2020-06-01T04:47:00Z,2e-6
2020-06-01T04:48:00Z,2e-6
2020-06-01T04:49:00Z,2e-6
2020-06-01T04:50:00Z,2e-6
2020-06-01T04:51:00Z,2e-6
2020-06-01T04:52:00Z,2e-6
2020-06-01T04:53:00Z,2e-6
2020-06-01T04:54:00Z,2e-6
2020-06-01T04:55:00Z,2e-6
2020-06-01T04:56:00Z,2e-6
2020-06-01T04:57:00Z,2e-6
2020-06-01T04:58:00Z,2e-6
2020-06-01T04:59:00Z,2e-6
2020-06-01T05:00:00Z,2e-6
2020-06-01T05:01:00Z,2e-6
2020-06-01T05:02:00Z,2e-6
2020-06-01T05:03:00Z,2e-6
2020-06-01T05:04:00Z,1e-6
2020-06-01T05:05:00Z,1e-6
2020-06-01T05:06:00Z,1e-6
2020-06-01T05:07:00Z,1e-6
2020-06-01T05:08:00Z,1e-6
2020-06-01T05:09:00Z,1e-6
2020-06-01T05:10:00Z,1e-6
2020-06-01T05:11:00Z,1e-6
2020-06-01T05:12:00Z,1e-6
2020-06-01T05:13:00Z,1e-6
2020-06-01T05:14:00Z,1e-6
2020-06-01T05:15:00Z,1e-6
2020-06-01T05:16:00Z,1e-6
2020-06-01T05:17:00Z,1e-6
2020-06-01T05:18:00Z,1e-6
2020-06-01T05:19:00Z,1e-6
2020-06-01T05:20:00Z,1e-6
