SWMM5 Inflows Interface File
Inflows rate to nodes
60
1
FLOW CFS
1
J1
Node Year Mon Day Hr Min Sec Flow
J1 2020 06 01 01 25 00 3.2e-05
J1 2020 06 01 01 26 00 3.1e-05
J1 2020 06 01 01 27 00 3e-05
J1 2020 06 01 01 28 00 3e-05
J1 2020 06 01 01 29 00 2.9e-05
J1 2020 06 01 01 30 00 2.8e-05
J1 2020 06 01 01 31 00 2.7e-05
J1 2020 06 01 01 32 00 2.7e-05
J1 2020 06 01 01 33 00 2.6e-05
J1 2020 06 01 01 34 00 2.5e-05
J1 2020 06 01 01 35 00 2.5e-05
J1 2020 06 01 01 36 00 2.4e-05
J1 2020 06 01 01 37 00 2.3e-05
J1 2020 06 01 01 38 00 2.3e-05
J1 2020 06 01 01 39 00 2.2e-05
J1 2020 06 01 01 40 00 2.2e-05
J1 2020 06 01 01 41 00 2.1e-05
J1 2020 06 01 01 42 00 2.1e-05
J1 2020 06 01 01 43 00 2e-05
J1 2020 06 01 01 44 00 2e-05
J1 2020 06 01 01 45 00 1.9e-05
J1 2020 06 01 01 46 00 1.9e-05
J1 2020 06 01 01 47 00 1.9e-05
J1 2020 06 01 01 48 00 1.8e-05
J1 2020 06 01 01 49 00 1.8e-05
J1 2020 06 01 01 50 00 1.7e-05
J1 2020 06 01 01 51 00 1.7e-05
J1 2020 06 01 01 52 00 1.7e-05
J1 2020 06 01 01 53 00 1.6e-05
J1 2020 06 01 01 54 00 1.6e-05
J1 2020 06 01 01 55 00 1.6e-05
J1 2020 06 01 01 56 00 1.5e-05
J1 2020 06 01 01 57 00 1.5e-05
J1 2020 06 01 01 58 00 1.5e-05
J1 2020 06 01 01 59 00 1.4e-05
J1 2020 06 01 02 00 00 1.4e-05
J1 2020 06 01 02 01 00 1.4e-05
J1 2020 06 01 02 02 00 1.4e-05
J1 2020 06 01 02 03 00 1.3e-05
J1 2020 06 01 02 04 00 1.3e-05
J1 2020 06 01 02 05 00 1.3e-05
J1 2020 06 01 02 06 00 1.3e-05
J1 2020 06 01 02 07 00 1.2e-05
J1 2020 06 01 02 08 00 1.2e-05
J1 2020 06 01 02 09 00 1.2e-05
J1 2020 06 01 02 10 00 1.2e-05
J1 2020 06 01 02 11 00 1.1e-05
J1 2020 06 01 02 12 00 1.1e-05
J1 2020 06 01 02 13 00 1.1e-05
J1 2020 06 01 02 14 00 1.1e-05
J1 2020 06 01 02 15 00 1.1e-05
J1 2020 06 01 02 16 00 1e-05
J1 2020 06 01 02 17 00 1e-05
J1 2020 06 01 02 18 00 1e-05
J1 2020 06 01 02 19 00 1e-05
J1 2020 06 01 02 20 00 1e-05
J1 2020 06 01 02 21 00 1e-05
J1 2020 06 01 02 22 00 9e-06
J1 2020 06 01 02 23 00 9e-06
J1 2020 06 01 02 24 00 9e-06
J1 2020 06 01 02 25 00 9e-06
J1 2020 06 01 02 26 00 9e-06
J1 2020 06 01 02 27 00 9e-06
J1 2020 06 01 02 28 00 9e-06
J1 2020 06 01 02 29 00 8e-06
J1 2020 06 01 02 30 00 8e-06
J1 2020 06 01 02 31 00 8e-06
J1 2020 06 01 02 32 00 8e-06
J1 2020 06 01 02 33 00 8e-06
J1 2020 06 01 02 34 00 8e-06
J1 2020 06 01 02 35 00 8e-06
J1 2020 06 01 02 36 00 8e-06
J1 2020 06 01 02 37 00 7e-06
J1 2020 06 01 02 38 00 7e-06
J1 2020 06 01 02 39 00 7e-06
J1 2020 06 01 02 40 00 7e-06
J1 2020 06 01 02 41 00 7e-06
J1 2020 06 01 02 42 00 7e-06
J1 2020 06 01 02 43 00 7e-06
J1 2020 06 01 02 44 00 7e-06
J1 2020 06 01 02 45 00 7e-06
J1 2020 06 01 02 46 00 6e-06
J1 2020 06 01 02 47 00 6e-06
J1 2020 06 01 02 48 00 6e-06
J1 2020 06 01 02 49 00 6e-06
J1 2020 06 01 02 50 00 6e-06
J1 2020 06 01 02 51 00 6e-06
J1 2020 06 01 02 52 00 6e-06
J1 2020 06 01 02 53 00 6e-06
J1 2020 06 01 02 54 00 6e-06
J1 2020 06 01 02 55 00 6e-06
J1 2020 06 01 02 56 00 6e-06
J1 2020 06 01 02 57 00 6e-06
J1 2020 06 01 02 58 00 5e-06
J1 2020 06 01 02 59 00 5e-06
J1 2020 06 01 03 00 00 5e-06
J1 2020 06 01 03 01 00 5e-06
J1 2020 06 01 03 02 00 5e-06
J1 2020 06 01 03 03 00 5e-06
J1 2020 06 01 03 04 00 5e-06
J1 2020 06 01 03 05 00 5e-06
J1 2020 06 01 03 06 00 5e-06
J1 2020 06 01 03 07 00 5e-06
J1 2020 06 01 03 08 00 5e-06
J1 2020 06 01 03 09 00 5e-06
J1 2020 06 01 03 10 00 5e-06
J1 2020 06 01 03 11 00 5e-06
J1 2020 06 01 03 12 00 5e-06
J1 2020 06 01 03 13 00 5e-06
J1 2020 06 01 03 14 00 4e-06
J1 2020 06 01 03 15 00 4e-06
J1 2020 06 01 03 16 00 4e-06
J1 2020 06 01 03 17 00 4e-06
J1 2020 06 01 03 18 00 4e-06
J1 2020 06 01 03 19 00 4e-06
J1 2020 06 01 03 20 00 4e-06
J1 2020 06 01 03 21 00 4e-06
J1 2020 06 01 03 22 00 4e-06
J1 2020 06 01 03 23 00 4e-06
J1 2020 06 01 03 24 00 4e-06
J1 2020 06 01 03 25 00 4e-06
J1 2020 06 01 03 26 00 4e-06
J1 2020 06 01 03 27 00 4e-06
J1 2020 06 01 03 28 00 4e-06
J1 2020 06 01 03 29 00 4e-06
J1 2020 06 01 03 30 00 4e-06
J1 2020 06 01 03 31 00 4e-06
J1 2020 06 01 03 32 00 4e-06
J1 2020 06 01 03 33 00 4e-06
J1 2020 06 01 03 34 00 4e-06
J1 2020 06 01 03 35 00 3e-06
J1 2020 06 01 03 36 00 3e-06
J1 2020 06 01 03 37 00 3e-06
J1 2020 06 01 03 38 00 3e-06
J1 2020 06 01 03 39 00 3e-06
J1 2020 06 01 03 40 00 3e-06
J1 2020 06 01 03 41 00 3e-06
J1 2020 06 01 03 42 00 3e-06
J1 2020 06 01 03 43 00 3e-06
J1 2020 06 01 03 44 00 3e-06
J1 2020 06 01 03 45 00 3e-06
J1 2020 06 01 03 46 00 3e-06
J1 2020 06 01 03 47 00 3e-06
J1 2020 06 01 03 48 00 3e-06
J1 2020 06 01 03 49 00 3e-06
J1 2020 06 01 03 50 00 3e-06
J1 2020 06 01 03 51 00 3e-06
J1 2020 06 01 03 52 00 3e-06
J1 2020 06 01 03 53 00 3e-06
J1 2020 06 01 03 54 00 3e-06
J1 2020 06 01 03 55 00 3e-06
J1 2020 06 01 03 56 00 3e-06
J1 2020 06 01 03 57 00 3e-06
J1 2020 06 01 03 58 00 3e-06
J1 2020 06 01 03 59 00 3e-06
J1 2020 06 01 04 00 00 3e-06
J1 2020 06 01 04 01 00 3e-06
J1 2020 06 01 04 02 00 3e-06
J1 2020 06 01 04 03 00 3e-06
J1 2020 06 01 04 04 00 3e-06
J1 2020 06 01 04 05 00 3e-06
J1 2020 06 01 04 06 00 3e-06
J1 2020 06 01 04 07 00 2e-06
J1 2020 06 01 04 08 00 2e-06
J1 2020 06 01 04 09 00 2e-06
J1 2020 06 01 04 10 00 2e-06
J1 2020 06 01 04 11 00 2e-06
J1 2020 06 01 04 12 00 2e-06
J1 2020 06 01 04 13 00 2e-06
J1 2020 06 01 04 14 00 2e-06
J1 2020 06 01 04 15 00 2e-06
J1 2020 06 01 04 16 00 2e-06
J1 2020 06 01 04 17 00 2e-06
J1 2020 06 01 04 18 00 2e-06
